2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Graebner, W.	1	40	REVIEWS IN AMERICAN HISTORY	0048-7511	(Uk)RN309690586	REVIEWS IN AMERICAN HISTORY 40(1), 139-144. (2012)	AMY L. SCOTT / Holding Out for a Hero: Patty Hearst and American Culture in the Seventies	xxu	eng	THE JOHNS HOPKINS UNIVERSITY PRESS	2012
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Wang, S.	03-Apr	51	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN311583084	AMERICAN STUDIES -LAWRENCE- 51(3/4), 7-30. (2010)	By Proxy of His Black Hero: The Bonus March (1932) and Eitaro Ishigaki's Critical Engagement in American Leftist Discourses	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	2010
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Lukhele, F.	2	46	CANADIAN JOURNAL OF AFRICAN STUDIES	0008-3968	(Uk)RN318251536	CANADIAN JOURNAL OF AFRICAN STUDIES 46(2), 289-301. (2012)	Post-prison Nelson Mandela: A `made-in-America hero'	xxk		Taylor & Francis	2012
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	McCaslin, R.B.	1	41	REVIEWS IN AMERICAN HISTORY	0048-7511	(Uk)RN329254985	REVIEWS IN AMERICAN HISTORY 41(1), 72-76. (2013)	History over Memory: New Perspectives on Civil War Leadership Joan Waugh, U. S. Grant: American Hero, American Myth Chester G. Hearn, Lincoln, the Cabinet, and the Generals	xxu	eng	THE JOHNS HOPKINS UNIVERSITY PRESS	2013
2014-01-31_JA-america.tsv:History_2i-rdf.tsv	Brumwell, S.	84		HISTORIAN -LONDON- HISTORICAL ASSOCIATION-	0265-1076	(Uk)RN162002671	HISTORIAN -LONDON- HISTORICAL ASSOCIATION- 84, 8-15. (2004)	The first trans-Atlantic hero? General James Wolfe and British North America	xxk	eng	THE HISTORICAL ASSOCIATION	2004
2014-01-31_JA-america.tsv:History_2i-rdf.tsv	Durrans, S.	57		EUROPEAN CONTRIBUTIONS TO AMERICAN STUDIES	1387-9332	(Uk)RN165103000	EUROPEAN CONTRIBUTIONS TO AMERICAN STUDIES 57, 199-210. (2004)	"""The Poetry of War"": Willa Cather's New Vision of the American Hero in One of Ours"	ne	eng	Amsterdam; VU University Press	2004
2014-01-31_JA-america.tsv:History_3-rdf.tsv	House, J.	4	16	JOURNAL OF AMERICAN CULTURE	0191-1813	(Uk)EN013761747	JOURNAL OF AMERICAN CULTURE 16(4), 65. (1993)	Sweeney Among the Archetypes: The Literary Hero in American Culture	xxu		BOWLING GREEN STATE UNIV	1993
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Fowler, W. M.	1	104	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN059125102	AMERICAN HISTORICAL REVIEW 104(1), 186. (1999)	James Kirby Martin. Benedict Arnold, Revolutionary Hero: An American Warrior Reconsidered	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1999
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Ownby, T.	5	108	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN143028626	AMERICAN HISTORICAL REVIEW 108(5), 1467. (2003)	Robert F. Martin. Hero of the Heartland: Billy Sunday and the Transformation of American Society, 1862-1935	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	2003
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Carpenter, J. A.	4	90	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN146365405	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 90(4), 1480. (2004)	Martin, Hero of the Heartland: Billy Sunday and the Transformation of American Society, 1862-1935	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2004
